min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,train_time,test_time,accuracy
0,0,0,0,1,1,0,0,1,1,1,24.17960882,0.686871052,63.95118389
0,0,0,0,1,1,0,1,0,0,0,38.26245284,0.519405127,63.45572129
0,0,0,0,1,1,0,1,0,0,1,38.31186628,0.522814512,63.45572129
0,0,0,0,1,1,0,1,0,1,0,38.46392608,0.520231009,63.45572129
0,0,0,0,1,1,0,1,0,1,1,38.38956571,0.519286394,63.45572129
0,0,0,0,1,1,0,1,1,0,0,38.23589921,0.521940708,63.45572129
0,0,0,0,1,1,0,1,1,0,1,38.42400885,0.521375179,63.45572129
0,0,0,0,1,1,0,1,1,1,0,38.51488972,0.521316528,63.45572129
0,0,0,0,1,1,0,1,1,1,1,38.44878078,0.51807332,63.45572129
0,0,0,0,1,1,1,0,0,0,0,18.50737119,0.677997112,65.33847919
0,0,0,0,1,1,1,0,0,0,1,18.56275129,0.674642801,65.33847919
0,0,0,0,1,1,1,0,0,1,0,18.63769031,0.677511692,65.33847919
0,0,0,0,1,1,1,0,0,1,1,18.61496115,0.67399621,65.33847919
0,0,0,0,1,1,1,0,1,0,0,18.47563314,0.678343534,65.33847919
0,0,0,0,1,1,1,0,1,0,1,18.35481644,0.67522192,65.33847919
0,0,0,0,1,1,1,0,1,1,0,18.52289248,0.678792715,65.33847919
0,0,0,0,1,1,1,0,1,1,1,18.36370373,0.681967735,65.33847919
0,0,0,0,1,1,1,1,0,0,0,28.74543262,0.498835087,63.1897361
0,0,0,0,1,1,1,1,0,0,1,28.73669076,0.497016907,63.1897361
0,0,0,0,1,1,1,1,0,1,0,28.75822163,0.497761011,63.1897361
0,0,0,0,1,1,1,1,0,1,1,29.03215289,0.497008085,63.1897361
0,0,0,0,1,1,1,1,1,0,0,28.75344229,0.496822596,63.1897361
0,0,0,0,1,1,1,1,1,0,1,28.71128869,0.495470285,63.1897361
0,0,0,0,1,1,1,1,1,1,0,28.94351673,0.493383169,63.1897361
0,0,0,0,1,1,1,1,1,1,1,28.85728264,0.497504473,63.1897361
0,0,0,1,0,0,0,0,0,0,0,88.60510612,2.495605707,80.43705017
0,0,0,1,0,0,0,0,0,0,1,87.99920297,2.496933699,80.43705017
0,0,0,1,0,0,0,0,0,1,0,84.08248186,2.291369438,80.42140398
0,0,0,1,0,0,0,0,0,1,1,83.53900695,2.299217939,80.42140398
0,0,0,1,0,0,0,0,1,0,0,83.49863124,2.32194829,80.29623448
0,0,0,1,0,0,0,0,1,0,1,83.8091135,2.303104639,80.29623448
0,0,0,1,0,0,0,0,1,1,0,83.44914722,2.280970335,80.37446542
0,0,0,1,0,0,0,0,1,1,1,83.46557117,2.286344767,80.37446542
0,0,0,1,0,0,0,1,0,0,0,158.0903995,2.40438962,81.80869928
0,0,0,1,0,0,0,1,0,0,1,156.8624036,2.405375004,81.80869928
0,0,0,1,0,0,0,1,0,1,0,150.5987179,2.205453157,81.95994576
0,0,0,1,0,0,0,1,0,1,1,150.4473209,2.21101594,81.95994576
0,0,0,1,0,0,0,1,1,0,0,150.3008265,2.240932941,81.79305309
0,0,0,1,0,0,0,1,1,0,1,150.5000508,2.232075691,81.79305309
0,0,0,1,0,0,0,1,1,1,0,149.8012559,2.200550318,82.02253051
0,0,0,1,0,0,0,1,1,1,1,149.9538486,2.199615002,82.02253051
0,0,0,1,0,0,1,0,0,0,0,67.16242909,2.353502274,79.76426411
0,0,0,1,0,0,1,0,0,0,1,67.30003452,2.350827217,79.76426411
0,0,0,1,0,0,1,0,0,1,0,68.27768135,2.156593084,79.88421821
0,0,0,1,0,0,1,0,0,1,1,67.17198348,2.154236555,79.88421821
0,0,0,1,0,0,1,0,1,0,0,66.59206772,2.121147156,79.7799103
0,0,0,1,0,0,1,0,1,0,1,66.40255642,2.11184907,79.7799103
0,0,0,1,0,0,1,0,1,1,0,67.11549306,2.143288612,79.93115677
0,0,0,1,0,0,1,0,1,1,1,67.29316235,2.149853468,79.93115677
0,0,0,1,0,0,1,1,0,0,0,118.1396725,2.094031811,80.45791176
0,0,0,1,0,0,1,1,0,0,1,117.8830433,2.102385044,80.45791176
0,0,0,1,0,0,1,1,0,1,0,118.1205387,1.955031395,80.83863565
0,0,0,1,0,0,1,1,0,1,1,118.7296014,1.95597887,80.83863565
0,0,0,1,0,0,1,1,1,0,0,116.5418954,1.919069052,80.28580369
0,0,0,1,0,0,1,1,1,0,1,116.6724164,1.921793938,80.28580369
0,0,0,1,0,0,1,1,1,1,0,118.1589065,1.94349122,80.73954313
0,0,0,1,0,0,1,1,1,1,1,118.4120386,1.949174881,80.73954313
0,0,0,1,0,1,0,0,0,0,0,88.44796848,2.497250319,80.43705017
0,0,0,1,0,1,0,0,0,0,1,88.7476213,2.500962496,80.43705017
0,0,0,1,0,1,0,0,0,1,0,84.05628538,2.288218021,80.42140398
0,0,0,1,0,1,0,0,0,1,1,84.05888939,2.29727149,80.42140398
0,0,0,1,0,1,0,0,1,0,0,84.0006299,2.31104064,80.29623448
0,0,0,1,0,1,0,0,1,0,1,83.89210081,2.310237885,80.29623448
0,0,0,1,0,1,0,0,1,1,0,84.15348363,2.275186777,80.37446542
0,0,0,1,0,1,0,0,1,1,1,84.13003945,2.285648346,80.37446542
0,0,0,1,0,1,0,1,0,0,0,157.8433533,2.414025545,81.80869928
0,0,0,1,0,1,0,1,0,0,1,157.7216368,2.410055637,81.80869928
0,0,0,1,0,1,0,1,0,1,0,151.1784899,2.205369949,81.95994576
0,0,0,1,0,1,0,1,0,1,1,151.07146,2.207764387,81.95994576
0,0,0,1,0,1,0,1,1,0,0,150.9174063,2.232258797,81.79305309
0,0,0,1,0,1,0,1,1,0,1,150.7346802,2.235490322,81.79305309
0,0,0,1,0,1,0,1,1,1,0,151.1987009,2.203912258,82.02253051
0,0,0,1,0,1,0,1,1,1,1,150.8780222,2.202906132,82.02253051
0,0,0,1,0,1,1,0,0,0,0,67.89800858,2.344574213,79.76426411
0,0,0,1,0,1,1,0,0,0,1,67.83489513,2.350901842,79.76426411
0,0,0,1,0,1,1,0,0,1,0,67.68812633,2.140269995,79.88421821
0,0,0,1,0,1,1,0,0,1,1,68.03072524,2.151867628,79.88421821
0,0,0,1,0,1,1,0,1,0,0,67.17323256,2.113752127,79.7799103
0,0,0,1,0,1,1,0,1,0,1,67.01479101,2.111167192,79.7799103
0,0,0,1,0,1,1,0,1,1,0,67.88813519,2.139381647,79.93115677
0,0,0,1,0,1,1,0,1,1,1,67.75797725,2.155518532,79.93115677
0,0,0,1,0,1,1,1,0,0,0,118.840637,2.102442265,80.45791176
0,0,0,1,0,1,1,1,0,0,1,118.7532394,2.099364758,80.45791176
0,0,0,1,0,1,1,1,0,1,0,119.9027615,1.954292774,80.83863565
0,0,0,1,0,1,1,1,0,1,1,119.9495883,1.959000587,80.83863565
0,0,0,1,0,1,1,1,1,0,0,117.5691168,1.916824579,80.28580369
0,0,0,1,0,1,1,1,1,0,1,117.6294172,1.915100574,80.28580369
0,0,0,1,0,1,1,1,1,1,0,119.6781254,1.953424692,80.73954313
0,0,0,1,0,1,1,1,1,1,1,121.1052098,1.940761089,80.73954313
0,0,0,1,1,0,0,0,0,0,0,89.10489726,2.329418659,72.56180244
0,0,0,1,1,0,0,0,0,0,1,89.03307915,2.318952084,72.56180244
0,0,0,1,1,0,0,0,0,1,0,84.0406096,2.076085091,72.38447898
0,0,0,1,1,0,0,0,0,1,1,84.10538316,2.074244976,72.38447898
0,0,0,1,1,0,0,0,1,0,0,85.80697799,2.176345348,72.25930948
0,0,0,1,1,0,0,0,1,0,1,85.69858479,2.176527739,72.25930948
0,0,0,1,1,0,0,0,1,1,0,83.80056524,2.053786993,72.02983206
0,0,0,1,1,0,0,0,1,1,1,83.98608088,2.062160492,72.02983206
0,0,0,1,1,0,0,1,0,0,0,160.1516635,1.984244585,73.12506519
0,0,0,1,1,0,0,1,0,0,1,160.2523191,2.000723362,73.12506519
0,0,0,1,1,0,0,1,0,1,0,149.9060955,1.633042574,72.95817253
0,0,0,1,1,0,0,1,0,1,1,149.96896,1.645878792,72.95817253
0,0,0,1,1,0,0,1,1,0,0,154.2604358,1.78303647,72.85908
0,0,0,1,1,0,0,1,1,0,1,154.3302512,1.793841124,72.85908
0,0,0,1,1,0,0,1,1,1,0,149.7572882,1.625291348,72.77563367
0,0,0,1,1,0,0,1,1,1,1,149.84585,1.634177446,72.77563367
