train_time,test_time,accuracy
0.009251833,0.000305891,84.61538462
0.00834322,0.000333071,73.07692308
0.009027719,0.000317574,84.61538462
0.008464336,0.000267029,73.07692308
0.00906992,0.000277996,84.61538462
0.009512186,0.000310421,73.07692308
0.009669065,0.000325203,84.61538462
0.009022713,0.000246286,73.07692308
0.009779215,0.000263214,84.61538462
0.008915663,0.00022769,73.07692308
0.009501457,0.000238657,84.61538462
0.009049654,0.000226021,73.07692308
0.009695292,0.000236273,84.61538462
0.008533716,0.000229836,73.07692308
0.010761261,0.000304222,73.07692308
0.00831151,0.0002141,73.07692308
0.010777235,0.00032258,76.92307692
0.008220196,0.000214338,73.07692308
0.010965109,0.000311375,76.92307692
0.008295774,0.000256777,73.07692308
0.011154652,0.000359058,73.07692308
0.008996248,0.000221252,73.07692308
0.011754036,0.000301838,69.23076923
0.008848906,0.0002141,73.07692308
0.012294769,0.0003407,76.92307692
0.008866549,0.000221729,73.07692308
0.012040377,0.000320196,76.92307692
0.008884192,0.00021863,73.07692308
0.012734652,0.00033164,80.76923077
0.008469105,0.000237942,73.07692308
0.010984421,0.000330687,76.92307692
0.008503675,0.000235081,73.07692308
0.010091066,0.000296116,80.76923077
0.008240461,0.000227928,73.07692308
0.011871338,0.00041151,76.92307692
0.008765936,0.000260353,73.07692308
0.011526823,0.00036788,80.76923077
0.008986712,0.000252247,73.07692308
0.01238203,0.000396013,76.92307692
0.008952618,0.000258446,73.07692308
0.010878325,0.000337362,80.76923077
0.00876379,0.000257492,73.07692308
0.013389349,0.000415325,80.76923077
0.00920701,0.000287771,73.07692308
0.011937857,0.000288486,80.76923077
0.008829117,0.000229836,73.07692308
0.01083827,0.000327587,73.07692308
0.008535385,0.000225067,73.07692308
0.010863781,0.00031209,76.92307692
0.008234739,0.000220776,73.07692308
0.011015415,0.000342846,76.92307692
0.008255482,0.000269413,73.07692308
0.011238098,0.000380039,73.07692308
0.009042501,0.00024271,73.07692308
0.011930704,0.000328302,69.23076923
0.008768559,0.000262737,73.07692308
0.013058424,0.000330448,76.92307692
0.0090096,0.000237703,73.07692308
0.012369156,0.00033021,76.92307692
0.009020567,0.000231028,73.07692308
0.0130229,0.000368595,80.76923077
0.008602858,0.00025034,73.07692308
0.011116505,0.000334501,76.92307692
0.008550406,0.000266314,73.07692308
0.010534525,0.000319242,80.76923077
0.008354425,0.000240326,73.07692308
0.01211834,0.000374317,76.92307692
0.00890398,0.000264883,73.07692308
0.011733532,0.000368357,80.76923077
