spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.04,0.015,0.02,0.14,0.255,0.115,0.01,0.01,0.01,0.02
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.005,5.005,5,5,5.01,5.01,5.015,5.005,5,5.005
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.095,0.04,0.065,0.26,0.17,0.11,0.04,0.04,0.045,0.05
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.005,5.01,5,5
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.295,0.08,0.015,0.01,0.015,0.02
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.01,5,5,5.005
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.08,0.04,0.07,0.26,0.15,0.14,0.03,0.03,0.03,0.04
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.005,5,5,5.01
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.225,0.06,0.01,0.01,0.02,0.02
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.01,5.01,5.01,5.01,5,5
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.08,0.04,0.07,0.255,0.08,0.14,0.04,0.035,0.04,0.045
1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.01,5.01,5,5,5.01,5.005,5,5,3.28,5.01
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.035,0.02,0.02,0.14,0.045,0.075,0.015,0.01,0.02,0.02
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.005,5,5,5,5.01,5.005,5.01,5.01,5,5.005
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.07,0.03,0.07,0.255,0.105,0.09,0.03,0.03,0.025,0.035
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.005,5.005,5,5.01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0.07,0.12,0.115,0.035,0,0,0,0.075
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5.01,5,5,5,5.01,5,5.005,5,5
