min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,train_time,test_time,accuracy
0,0,0,0,0,1,1,0,0,0,0,15.79818797,0.638778687,72.08198602
0,0,0,0,0,1,1,0,0,0,1,15.86494422,0.644608259,72.08198602
0,0,0,0,0,1,1,0,0,1,0,15.8864615,0.642647028,72.10284761
0,0,0,0,0,1,1,0,0,1,1,15.81305981,0.648154259,72.10284761
0,0,0,0,0,1,1,0,1,0,0,15.74738407,0.633307695,72.06633984
0,0,0,0,0,1,1,0,1,0,1,15.94179201,0.64529562,72.06633984
0,0,0,0,0,1,1,0,1,1,0,15.86034989,0.637709856,72.05590904
0,0,0,0,0,1,1,0,1,1,1,15.86709023,0.643861294,72.05590904
0,0,0,0,0,1,1,1,0,0,0,24.57546735,0.64699173,72.08198602
0,0,0,0,0,1,1,1,0,0,1,24.52721643,0.644465208,72.08198602
0,0,0,0,0,1,1,1,0,1,0,24.73493576,0.643535376,72.09763221
0,0,0,0,0,1,1,1,0,1,1,24.60527968,0.65405488,72.09763221
0,0,0,0,0,1,1,1,1,0,0,24.60284448,0.641438961,72.09763221
0,0,0,0,0,1,1,1,1,0,1,24.59491062,0.634886265,72.09763221
0,0,0,0,0,1,1,1,1,1,0,24.6598177,0.650957823,72.05590904
0,0,0,0,0,1,1,1,1,1,1,24.6595757,0.634173155,72.05590904
0,0,0,0,1,0,0,0,0,0,0,20.74665308,0.626886606,63.9407531
0,0,0,0,1,0,0,0,0,0,1,54.25112271,3.250838041,63.9407531
0,0,0,0,1,0,0,0,0,1,0,108.2278111,3.234007835,63.9459685
0,0,0,0,1,0,0,0,0,1,1,108.6326365,3.290997505,63.9459685
0,0,0,0,1,0,0,0,1,0,0,108.2394938,3.207043409,63.95118389
0,0,0,0,1,0,0,0,1,0,1,108.4588869,3.212461233,63.95118389
0,0,0,0,1,0,0,0,1,1,0,108.4622955,3.233628988,63.95118389
0,0,0,0,1,0,0,0,1,1,1,108.331743,3.253720284,63.95118389
0,0,0,0,1,0,0,1,0,0,0,171.1630819,2.619496346,63.45572129
0,0,0,0,1,0,0,1,0,0,1,171.8301644,2.635565996,63.45572129
0,0,0,0,1,0,0,1,0,1,0,171.6818719,2.655447006,63.45572129
0,0,0,0,1,0,0,1,0,1,1,171.9117219,2.596176147,63.45572129
0,0,0,0,1,0,0,1,1,0,0,171.7325349,2.637854099,63.45572129
0,0,0,0,1,0,0,1,1,0,1,173.28302,2.617698431,63.45572129
0,0,0,0,1,0,0,1,1,1,0,171.6351585,2.576652765,63.45572129
0,0,0,0,1,0,0,1,1,1,1,172.3400764,2.663408041,63.45572129
0,0,0,0,1,0,1,0,0,0,0,83.0508635,3.155696154,65.33847919
0,0,0,0,1,0,1,0,0,0,1,82.59787822,3.175274134,65.33847919
0,0,0,0,1,0,1,0,0,1,0,82.69836211,3.155422688,65.33847919
0,0,0,0,1,0,1,0,0,1,1,82.72663283,3.155531645,65.33847919
0,0,0,0,1,0,1,0,1,0,0,82.65703559,3.187588215,65.33847919
0,0,0,0,1,0,1,0,1,0,1,82.66135263,3.212826729,65.33847919
0,0,0,0,1,0,1,0,1,1,0,82.92495918,3.208828688,65.33847919
0,0,0,0,1,0,1,0,1,1,1,83.1553297,3.169441462,65.33847919
0,0,0,0,1,0,1,1,0,0,0,128.5184557,2.516154289,63.1897361
0,0,0,0,1,0,1,1,0,0,1,128.0825498,2.492590427,63.1897361
0,0,0,0,1,0,1,1,0,1,0,128.5298967,2.480951786,63.1897361
0,0,0,0,1,0,1,1,0,1,1,128.9411876,2.393433809,63.1897361
0,0,0,0,1,0,1,1,1,0,0,127.9745784,2.373690367,63.1897361
0,0,0,0,1,0,1,1,1,0,1,128.0958416,2.450949669,63.1897361
0,0,0,0,1,0,1,1,1,1,0,128.3669546,2.436640501,63.1897361
0,0,0,0,1,0,1,1,1,1,1,128.5926991,2.431934834,63.1897361
0,0,0,0,1,1,0,0,0,0,0,108.348115,3.110854387,63.9407531
0,0,0,0,1,1,0,0,0,0,1,108.3218629,3.113969088,63.9407531
0,0,0,0,1,1,0,0,0,1,0,108.2424023,3.109948397,63.9459685
0,0,0,0,1,1,0,0,0,1,1,107.9723315,3.133286238,63.9459685
0,0,0,0,1,1,0,0,1,0,0,108.0868065,3.091902018,63.95118389
0,0,0,0,1,1,0,0,1,0,1,108.5456638,1.744724989,63.95118389
0,0,0,0,1,1,0,0,1,1,0,68.99467683,3.110837936,63.95118389
0,0,0,0,1,1,0,0,1,1,1,108.4222753,3.113636971,63.95118389
0,0,0,0,1,1,0,1,0,0,0,171.4083662,2.51679945,63.45572129
0,0,0,0,1,1,0,1,0,0,1,170.6471374,2.536683559,63.45572129
0,0,0,0,1,1,0,1,0,1,0,171.335228,2.521177769,63.45572129
0,0,0,0,1,1,0,1,0,1,1,171.1480751,2.540701151,63.45572129
0,0,0,0,1,1,0,1,1,0,0,170.6026511,2.513504744,63.45572129
0,0,0,0,1,1,0,1,1,0,1,170.8111842,2.534576178,63.45572129
0,0,0,0,1,1,0,1,1,1,0,171.076329,2.501533508,63.45572129
0,0,0,0,1,1,0,1,1,1,1,171.4220424,2.55655694,63.45572129
0,0,0,0,1,1,1,0,0,0,0,82.97139645,3.033088207,65.33847919
0,0,0,0,1,1,1,0,0,0,1,82.73044133,3.085174561,65.33847919
0,0,0,0,1,1,1,0,0,1,0,83.10394669,3.044426203,65.33847919
0,0,0,0,1,1,1,0,0,1,1,82.89471626,3.054454565,65.33847919
0,0,0,0,1,1,1,0,1,0,0,82.80312109,3.065838814,65.33847919
0,0,0,0,1,1,1,0,1,0,1,82.74732542,3.027161837,65.33847919
0,0,0,0,1,1,1,0,1,1,0,83.33897901,3.0497365,65.33847919
